Recency,Frequency,MonetaryValue,Cluster,Segment
0,3,640.76,0,Potential Loyalists
4,26,10845.55,2,Champions
77,4,1548.7,0,Potential Loyalists
71,2,335.36,0,Potential Loyalists
16,1,199.48,0,Potential Loyalists
2,5,787.85,0,Potential Loyalists
35,10,4891.71,0,Potential Loyalists
81,1,675.3,0,Potential Loyalists
38,8,3627.77,0,Potential Loyalists
315,1,1042.08,3,At Risk/Lost
31,2,789.0,0,Potential Loyalists
92,3,1140.93,0,Potential Loyalists
13,1,350.9,0,Potential Loyalists
81,3,3536.82,0,Potential Loyalists
76,1,795.12,0,Potential Loyalists
157,1,487.02,3,At Risk/Lost
200,1,860.12,3,At Risk/Lost
44,7,9371.04,2,Champions
260,1,775.85,3,At Risk/Lost
177,1,353.43,3,At Risk/Lost
67,3,2543.72,0,Potential Loyalists
287,1,389.5,3,At Risk/Lost
69,1,341.36,0,Potential Loyalists
63,1,233.76,0,Potential Loyalists
10,1,247.32,0,Potential Loyalists
15,2,979.12,0,Potential Loyalists
65,1,373.94,0,Potential Loyalists
59,1,397.98,0,Potential Loyalists
70,1,743.53,0,Potential Loyalists
121,1,674.7,3,At Risk/Lost
79,1,768.24,0,Potential Loyalists
256,1,609.95,3,At Risk/Lost
268,1,439.03,3,At Risk/Lost
63,1,439.56,0,Potential Loyalists
8,4,3090.74,0,Potential Loyalists
17,2,992.5,0,Potential Loyalists
70,1,134.95999999999998,0,Potential Loyalists
33,2,2225.37,0,Potential Loyalists
256,2,623.4,3,At Risk/Lost
365,1,308.28000000000003,3,At Risk/Lost
371,1,754.87,3,At Risk/Lost
89,1,378.64,0,Potential Loyalists
60,3,3312.25,0,Potential Loyalists
88,1,778.65,0,Potential Loyalists
98,3,1019.76,0,Potential Loyalists
25,3,572.56,0,Potential Loyalists
31,6,3639.31,0,Potential Loyalists
280,1,222.99,3,At Risk/Lost
30,7,3720.25,0,Potential Loyalists
329,1,534.57,3,At Risk/Lost
130,2,677.1,3,At Risk/Lost
10,3,797.96,0,Potential Loyalists
74,1,544.08,0,Potential Loyalists
203,1,59.8,3,At Risk/Lost
1,8,2520.02,0,Potential Loyalists
184,1,299.08,3,At Risk/Lost
28,2,1360.99,0,Potential Loyalists
72,5,1544.13,0,Potential Loyalists
191,1,457.34,3,At Risk/Lost
126,2,621.23,3,At Risk/Lost
17,1,75.0,0,Potential Loyalists
0,2,252.49,0,Potential Loyalists
73,3,572.451,0,Potential Loyalists
1,62,26581.68,1,Champions
23,5,1003.06,0,Potential Loyalists
106,1,213.55,0,Potential Loyalists
133,2,568.5,3,At Risk/Lost
43,2,712.5,0,Potential Loyalists
4,2,640.83,0,Potential Loyalists
11,18,6127.43,2,Champions
63,1,221.06,0,Potential Loyalists
149,2,159.85,3,At Risk/Lost
39,2,1851.08,0,Potential Loyalists
63,1,2626.3,0,Potential Loyalists
107,3,1624.21,0,Potential Loyalists
0,10,3641.32,0,Potential Loyalists
18,3,582.6,0,Potential Loyalists
9,1,218.47,0,Potential Loyalists
10,4,1006.8,0,Potential Loyalists
18,2,679.45,0,Potential Loyalists
66,2,1269.1,0,Potential Loyalists
73,2,534.24,0,Potential Loyalists
4,7,3660.85,0,Potential Loyalists
1,1,196.89,0,Potential Loyalists
13,7,3408.06,0,Potential Loyalists
254,1,283.71,3,At Risk/Lost
91,1,296.64,0,Potential Loyalists
22,3,1129.14,0,Potential Loyalists
16,6,3539.37,0,Potential Loyalists
23,1,291.88,0,Potential Loyalists
26,6,1940.04,0,Potential Loyalists
25,5,2976.15,0,Potential Loyalists
258,2,590.0,3,At Risk/Lost
165,2,356.98,3,At Risk/Lost
24,2,1058.34,0,Potential Loyalists
17,6,1766.72,0,Potential Loyalists
6,14,9646.57,2,Champions
28,2,183.44,0,Potential Loyalists
38,3,1445.0,0,Potential Loyalists
252,1,151.5,3,At Risk/Lost
57,1,674.68,0,Potential Loyalists
183,1,307.9,3,At Risk/Lost
10,2,1083.71,0,Potential Loyalists
1,37,5704.97,2,Champions
98,2,165.0,0,Potential Loyalists
0,4,2531.58,0,Potential Loyalists
60,2,422.64,0,Potential Loyalists
235,1,229.59,3,At Risk/Lost
190,4,1431.78,3,At Risk/Lost
178,2,1238.47,3,At Risk/Lost
37,6,1454.58,0,Potential Loyalists
200,2,300.95,3,At Risk/Lost
45,5,1804.56,0,Potential Loyalists
231,1,184.64,3,At Risk/Lost
65,1,140.34,0,Potential Loyalists
240,1,313.8,3,At Risk/Lost
232,1,454.24,3,At Risk/Lost
77,3,1122.41,0,Potential Loyalists
57,3,575.4,0,Potential Loyalists
16,13,8968.31,2,Champions
104,3,291.12,0,Potential Loyalists
51,10,1215.82,0,Potential Loyalists
135,3,1269.84,0,Potential Loyalists
274,2,358.35,3,At Risk/Lost
311,1,316.26000000000005,3,At Risk/Lost
7,5,2044.87,0,Potential Loyalists
10,2,653.33,0,Potential Loyalists
282,2,348.05,3,At Risk/Lost
17,5,1047.75,0,Potential Loyalists
22,3,1166.77,0,Potential Loyalists
287,1,1340.32,3,At Risk/Lost
16,3,292.0,0,Potential Loyalists
70,1,216.85,0,Potential Loyalists
63,1,295.93,0,Potential Loyalists
72,4,4393.63,0,Potential Loyalists
315,2,458.52,3,At Risk/Lost
2,4,2479.16,0,Potential Loyalists
243,1,110.97,3,At Risk/Lost
8,6,829.84,0,Potential Loyalists
0,4,1791.56,0,Potential Loyalists
260,1,251.21,3,At Risk/Lost
126,1,205.1,3,At Risk/Lost
73,1,152.20000000000002,0,Potential Loyalists
72,4,891.12,0,Potential Loyalists
20,3,635.41,0,Potential Loyalists
59,3,2128.42,0,Potential Loyalists
85,1,659.4399999999999,0,Potential Loyalists
77,1,122.75,0,Potential Loyalists
58,6,3624.35,0,Potential Loyalists
0,3,1093.65,0,Potential Loyalists
29,1,125.8,0,Potential Loyalists
32,5,3964.88,0,Potential Loyalists
40,5,680.1800000000001,0,Potential Loyalists
14,2,164.78,0,Potential Loyalists
33,7,2287.51,0,Potential Loyalists
78,2,307.76,0,Potential Loyalists
204,2,483.8,3,At Risk/Lost
33,1,210.31,0,Potential Loyalists
182,3,270.79,3,At Risk/Lost
1,25,5870.08,2,Champions
0,7,3448.29,0,Potential Loyalists
42,7,1280.85,0,Potential Loyalists
85,3,631.34,0,Potential Loyalists
39,2,291.41,0,Potential Loyalists
11,3,626.99,0,Potential Loyalists
95,2,682.41,0,Potential Loyalists
25,7,918.2,0,Potential Loyalists
318,1,91.8,3,At Risk/Lost
65,12,3740.07,0,Potential Loyalists
73,4,4149.28,0,Potential Loyalists
27,2,584.06,0,Potential Loyalists
5,4,605.06,0,Potential Loyalists
6,1,174.37,0,Potential Loyalists
215,1,141.86,3,At Risk/Lost
81,3,1799.33,0,Potential Loyalists
83,2,777.53,0,Potential Loyalists
353,2,1198.38,3,At Risk/Lost
18,2,240.22,0,Potential Loyalists
40,2,874.71,0,Potential Loyalists
172,1,192.85,3,At Risk/Lost
16,2,373.75,0,Potential Loyalists
242,1,239.49,3,At Risk/Lost
12,12,2092.32,0,Potential Loyalists
205,1,1384.25,3,At Risk/Lost
49,2,271.36,0,Potential Loyalists
22,5,732.0699999999999,0,Potential Loyalists
9,18,6717.34,2,Champions
24,4,1687.6,0,Potential Loyalists
14,2,467.04,0,Potential Loyalists
308,1,118.0,3,At Risk/Lost
155,1,781.03,3,At Risk/Lost
306,1,142.4,3,At Risk/Lost
63,1,712.4,0,Potential Loyalists
15,9,2478.95,0,Potential Loyalists
14,2,379.65,0,Potential Loyalists
10,6,1685.52,0,Potential Loyalists
64,3,1117.13,0,Potential Loyalists
35,4,247.96,0,Potential Loyalists
107,5,2037.08,0,Potential Loyalists
52,1,396.97,0,Potential Loyalists
5,2,697.04,0,Potential Loyalists
46,1,180.17,0,Potential Loyalists
0,21,5153.67,2,Champions
311,1,219.52,3,At Risk/Lost
44,2,693.32,0,Potential Loyalists
64,1,428.89,0,Potential Loyalists
25,1,164.34,0,Potential Loyalists
28,3,280.54,0,Potential Loyalists
39,1,678.01,0,Potential Loyalists
11,7,1131.88,0,Potential Loyalists
88,3,1171.8,0,Potential Loyalists
23,4,1610.46,0,Potential Loyalists
318,1,417.69,3,At Risk/Lost
39,3,544.18,0,Potential Loyalists
173,1,177.34,3,At Risk/Lost
116,1,213.85,3,At Risk/Lost
30,5,747.78,0,Potential Loyalists
252,1,257.23,3,At Risk/Lost
58,5,1434.95,0,Potential Loyalists
22,11,5715.36,2,Champions
4,7,1879.14,0,Potential Loyalists
99,11,3070.42,0,Potential Loyalists
24,5,2121.27,0,Potential Loyalists
32,5,1575.16,0,Potential Loyalists
67,1,1071.03,0,Potential Loyalists
36,5,949.12,0,Potential Loyalists
51,3,810.5,0,Potential Loyalists
15,1,122.64,0,Potential Loyalists
73,1,795.74,0,Potential Loyalists
215,1,354.8,3,At Risk/Lost
30,3,519.44,0,Potential Loyalists
15,4,2624.26,0,Potential Loyalists
119,1,252.1,3,At Risk/Lost
9,4,1678.12,0,Potential Loyalists
256,2,346.6,3,At Risk/Lost
16,6,1836.34,0,Potential Loyalists
34,2,94.2,0,Potential Loyalists
45,3,1095.08,0,Potential Loyalists
42,6,2698.69,0,Potential Loyalists
113,2,932.97,0,Potential Loyalists
164,2,379.65,3,At Risk/Lost
10,2,382.14,0,Potential Loyalists
9,5,2639.17,0,Potential Loyalists
205,2,1573.2,3,At Risk/Lost
85,3,897.76,0,Potential Loyalists
178,1,189.47,3,At Risk/Lost
59,3,84.65,0,Potential Loyalists
148,1,305.02,3,At Risk/Lost
2,21,6160.07,2,Champions
50,2,218.55,0,Potential Loyalists
74,1,349.7,0,Potential Loyalists
300,2,186.39,3,At Risk/Lost
18,2,396.92,0,Potential Loyalists
150,2,486.8200000000001,3,At Risk/Lost
151,1,215.32,3,At Risk/Lost
0,4,3722.42,0,Potential Loyalists
17,4,827.83,0,Potential Loyalists
186,1,59.5,3,At Risk/Lost
285,1,67.23,3,At Risk/Lost
2,4,20.92,0,Potential Loyalists
182,1,72.0,3,At Risk/Lost
62,1,910.0,0,Potential Loyalists
58,1,172.25,0,Potential Loyalists
24,3,1488.32,0,Potential Loyalists
3,47,38774.14,1,Champions
30,15,2504.13,0,Potential Loyalists
38,1,151.29999999999998,0,Potential Loyalists
154,1,308.58000000000004,3,At Risk/Lost
25,10,2265.12,0,Potential Loyalists
317,1,99.5,3,At Risk/Lost
4,9,2308.06,0,Potential Loyalists
7,3,711.86,0,Potential Loyalists
302,1,330.79,3,At Risk/Lost
266,2,806.41,3,At Risk/Lost
270,1,296.88,3,At Risk/Lost
3,13,6328.05,2,Champions
31,1,180.48,0,Potential Loyalists
218,2,252.06,3,At Risk/Lost
246,1,228.84,3,At Risk/Lost
280,5,1079.34,3,At Risk/Lost
268,1,138.28,3,At Risk/Lost
31,6,1414.77,0,Potential Loyalists
245,2,306.55,3,At Risk/Lost
14,5,1041.68,0,Potential Loyalists
116,4,720.7,0,Potential Loyalists
35,1,524.14,0,Potential Loyalists
131,3,2314.9300000000003,0,Potential Loyalists
216,1,199.85,3,At Risk/Lost
49,8,1980.56,0,Potential Loyalists
38,2,1079.66,0,Potential Loyalists
28,2,333.48,0,Potential Loyalists
36,6,1016.14,0,Potential Loyalists
135,2,752.6,3,At Risk/Lost
218,2,610.59,3,At Risk/Lost
27,1,491.86,0,Potential Loyalists
24,4,2885.24,0,Potential Loyalists
4,2,731.9,0,Potential Loyalists
199,1,339.6,3,At Risk/Lost
17,1,216.9,0,Potential Loyalists
240,1,350.75,3,At Risk/Lost
71,3,668.4300000000001,0,Potential Loyalists
16,12,3131.02,0,Potential Loyalists
2,7,991.8,0,Potential Loyalists
94,2,1114.6,0,Potential Loyalists
161,1,300.04,3,At Risk/Lost
373,1,79.6,3,At Risk/Lost
95,5,948.25,0,Potential Loyalists
53,5,1647.26,0,Potential Loyalists
287,1,296.25,3,At Risk/Lost
123,6,1186.28,0,Potential Loyalists
287,1,741.26,3,At Risk/Lost
151,2,282.6,3,At Risk/Lost
3,9,2161.35,0,Potential Loyalists
1,14,4619.52,2,Champions
11,7,3130.07,0,Potential Loyalists
32,2,659.4100000000001,0,Potential Loyalists
53,2,286.79,0,Potential Loyalists
49,2,1070.65,0,Potential Loyalists
218,1,306.72,3,At Risk/Lost
62,1,1714.96,0,Potential Loyalists
70,3,1521.76,0,Potential Loyalists
1,37,15389.96,2,Champions
1,10,2796.51,0,Potential Loyalists
63,4,2634.45,0,Potential Loyalists
33,3,1132.13,0,Potential Loyalists
81,1,345.0,0,Potential Loyalists
0,27,10751.44,2,Champions
102,1,178.7,0,Potential Loyalists
6,2,274.21,0,Potential Loyalists
250,1,127.84,3,At Risk/Lost
12,6,912.0,0,Potential Loyalists
9,8,1935.75,0,Potential Loyalists
366,1,230.4,3,At Risk/Lost
75,2,309.04,0,Potential Loyalists
3,1,348.8,0,Potential Loyalists
127,2,1226.0,0,Potential Loyalists
65,2,195.55,0,Potential Loyalists
0,55,31102.87,1,Champions
116,2,688.86,0,Potential Loyalists
309,1,558.32,3,At Risk/Lost
66,1,324.8,0,Potential Loyalists
138,3,4057.42,0,Potential Loyalists
254,1,277.07,3,At Risk/Lost
30,7,2635.79,0,Potential Loyalists
51,2,542.48,0,Potential Loyalists
63,1,256.38,0,Potential Loyalists
366,1,112.6,3,At Risk/Lost
5,5,1747.66,0,Potential Loyalists
304,1,155.05,3,At Risk/Lost
28,2,899.51,0,Potential Loyalists
183,3,814.5,3,At Risk/Lost
41,3,539.0,0,Potential Loyalists
39,4,1366.86,0,Potential Loyalists
91,2,1579.12,0,Potential Loyalists
21,4,3966.88,0,Potential Loyalists
23,2,571.6700000000001,0,Potential Loyalists
28,2,382.98,0,Potential Loyalists
301,3,938.75,3,At Risk/Lost
144,2,385.64,3,At Risk/Lost
5,2,632.0,0,Potential Loyalists
18,2,957.66,0,Potential Loyalists
32,5,1698.94,0,Potential Loyalists
175,1,189.5,3,At Risk/Lost
57,3,412.05,0,Potential Loyalists
21,1,209.49,0,Potential Loyalists
15,6,1876.59,0,Potential Loyalists
18,1,52.2,0,Potential Loyalists
158,1,384.8,3,At Risk/Lost
24,4,834.57,0,Potential Loyalists
211,2,271.24,3,At Risk/Lost
5,4,691.73,0,Potential Loyalists
252,1,85.0,3,At Risk/Lost
58,9,3385.62,0,Potential Loyalists
10,1,361.62,0,Potential Loyalists
64,1,312.98,0,Potential Loyalists
24,3,865.0600000000001,0,Potential Loyalists
297,1,135.0,3,At Risk/Lost
51,2,1537.95,0,Potential Loyalists
128,1,1595.48,0,Potential Loyalists
95,3,1763.46,0,Potential Loyalists
56,1,1090.14,0,Potential Loyalists
8,25,7935.519999999999,2,Champions
168,3,294.9,3,At Risk/Lost
56,1,216.17,0,Potential Loyalists
325,1,201.16,3,At Risk/Lost
0,5,1245.9,0,Potential Loyalists
17,8,2209.36,0,Potential Loyalists
247,1,305.78,3,At Risk/Lost
57,4,501.56,0,Potential Loyalists
73,1,145.67000000000002,0,Potential Loyalists
30,3,1015.29,0,Potential Loyalists
38,1,507.54,0,Potential Loyalists
122,4,3104.95,0,Potential Loyalists
1,8,2770.94,0,Potential Loyalists
22,13,6403.25,2,Champions
119,3,389.6,0,Potential Loyalists
357,1,540.45,3,At Risk/Lost
53,5,1786.79,0,Potential Loyalists
63,1,122.7,0,Potential Loyalists
85,1,117.24,0,Potential Loyalists
54,1,1281.53,0,Potential Loyalists
20,13,3219.77,0,Potential Loyalists
3,19,11315.68,2,Champions
2,5,1191.13,0,Potential Loyalists
10,5,2674.48,0,Potential Loyalists
6,5,787.6,0,Potential Loyalists
188,2,506.8,3,At Risk/Lost
70,1,243.56,0,Potential Loyalists
203,1,349.55,3,At Risk/Lost
119,2,605.63,0,Potential Loyalists
92,1,416.9,0,Potential Loyalists
0,10,1883.81,0,Potential Loyalists
26,4,518.13,0,Potential Loyalists
297,1,821.1,3,At Risk/Lost
23,3,564.62,0,Potential Loyalists
27,4,2593.07,0,Potential Loyalists
49,1,311.16,0,Potential Loyalists
325,1,155.93,3,At Risk/Lost
15,2,388.52,0,Potential Loyalists
182,3,740.95,3,At Risk/Lost
71,5,2867.2,0,Potential Loyalists
36,2,332.64,0,Potential Loyalists
79,4,2244.75,0,Potential Loyalists
56,9,2288.11,0,Potential Loyalists
11,2,626.45,0,Potential Loyalists
49,2,272.04,0,Potential Loyalists
49,2,828.84,0,Potential Loyalists
58,2,384.81,0,Potential Loyalists
351,1,172.25,3,At Risk/Lost
53,1,351.13,0,Potential Loyalists
1,6,1838.85,0,Potential Loyalists
92,4,678.25,0,Potential Loyalists
22,1,223.85,0,Potential Loyalists
74,1,348.99,0,Potential Loyalists
10,4,464.57,0,Potential Loyalists
168,2,842.65,3,At Risk/Lost
57,2,337.34,0,Potential Loyalists
95,2,1237.53,0,Potential Loyalists
294,1,307.4,3,At Risk/Lost
108,2,608.7900000000001,0,Potential Loyalists
263,1,922.1,3,At Risk/Lost
179,1,376.58,3,At Risk/Lost
168,1,158.85,3,At Risk/Lost
34,1,71.66,0,Potential Loyalists
22,3,568.55,0,Potential Loyalists
16,4,839.14,0,Potential Loyalists
21,5,4127.28,0,Potential Loyalists
78,3,496.05,0,Potential Loyalists
64,1,90.6,0,Potential Loyalists
360,1,102.0,3,At Risk/Lost
2,6,2427.32,0,Potential Loyalists
10,4,745.06,0,Potential Loyalists
175,3,651.65,3,At Risk/Lost
217,2,3251.071,3,At Risk/Lost
6,2,265.68,0,Potential Loyalists
1,2,439.92,0,Potential Loyalists
153,2,322.96,3,At Risk/Lost
4,5,1026.42,0,Potential Loyalists
78,3,598.2,0,Potential Loyalists
20,2,230.22,0,Potential Loyalists
21,2,169.55,0,Potential Loyalists
307,4,664.54,3,At Risk/Lost
145,1,80.7,3,At Risk/Lost
6,18,9053.94,2,Champions
18,8,2758.26,0,Potential Loyalists
70,2,190.25,0,Potential Loyalists
286,1,264.7,3,At Risk/Lost
48,1,413.59,0,Potential Loyalists
30,6,2526.28,0,Potential Loyalists
206,1,357.98,3,At Risk/Lost
14,2,196.79,0,Potential Loyalists
72,1,869.87,0,Potential Loyalists
59,1,200.14,0,Potential Loyalists
38,4,1871.81,0,Potential Loyalists
29,12,2603.43,0,Potential Loyalists
26,4,488.03,0,Potential Loyalists
3,15,7060.13,2,Champions
16,1,239.82,0,Potential Loyalists
19,6,4147.96,0,Potential Loyalists
65,2,1029.92,0,Potential Loyalists
212,1,311.3,3,At Risk/Lost
11,6,855.97,0,Potential Loyalists
29,1,76.8,0,Potential Loyalists
42,9,3466.36,0,Potential Loyalists
3,6,2313.14,0,Potential Loyalists
14,5,1393.69,0,Potential Loyalists
9,12,3901.81,0,Potential Loyalists
210,1,500.3,3,At Risk/Lost
45,3,2043.08,0,Potential Loyalists
133,2,521.09,3,At Risk/Lost
42,7,4582.64,0,Potential Loyalists
9,5,2521.92,0,Potential Loyalists
115,3,962.19,0,Potential Loyalists
197,2,695.61,3,At Risk/Lost
277,1,328.8,3,At Risk/Lost
109,3,473.02,0,Potential Loyalists
76,1,505.18,0,Potential Loyalists
52,1,917.34,0,Potential Loyalists
161,4,4341.21,0,Potential Loyalists
46,3,1369.77,0,Potential Loyalists
16,2,642.8,0,Potential Loyalists
154,3,631.9,3,At Risk/Lost
224,1,440.0,3,At Risk/Lost
6,2,584.07,0,Potential Loyalists
121,2,327.7,3,At Risk/Lost
60,1,104.82,0,Potential Loyalists
62,2,467.66,0,Potential Loyalists
17,8,2360.09,0,Potential Loyalists
6,17,12308.78,2,Champions
1,11,2975.59,0,Potential Loyalists
21,3,651.8199999999999,0,Potential Loyalists
28,5,1428.02,0,Potential Loyalists
284,1,626.65,3,At Risk/Lost
175,2,147.20000000000002,3,At Risk/Lost
77,3,1560.38,0,Potential Loyalists
32,1,152.2,0,Potential Loyalists
40,12,3614.92,0,Potential Loyalists
265,1,141.41,3,At Risk/Lost
26,4,652.82,0,Potential Loyalists
108,2,1090.8,0,Potential Loyalists
283,1,154.99,3,At Risk/Lost
8,5,1308.61,0,Potential Loyalists
304,1,409.93,3,At Risk/Lost
16,4,5681.72,0,Potential Loyalists
31,2,746.36,0,Potential Loyalists
0,23,15610.39,2,Champions
19,1,225.36,0,Potential Loyalists
123,2,260.25,3,At Risk/Lost
64,1,92.46,0,Potential Loyalists
105,1,725.6400000000001,0,Potential Loyalists
0,23,8214.65,2,Champions
23,16,5831.32,2,Champions
266,1,183.6,3,At Risk/Lost
4,19,5643.62,2,Champions
9,12,9545.65,2,Champions
28,5,1042.7,0,Potential Loyalists
266,1,152.55,3,At Risk/Lost
63,2,374.7,0,Potential Loyalists
319,1,265.85,3,At Risk/Lost
3,8,1438.82,0,Potential Loyalists
31,1,151.04,0,Potential Loyalists
4,3,942.26,0,Potential Loyalists
128,1,122.47,3,At Risk/Lost
40,5,499.42,0,Potential Loyalists
101,6,1049.37,0,Potential Loyalists
124,1,375.1,3,At Risk/Lost
32,1,45.6,0,Potential Loyalists
301,2,934.52,3,At Risk/Lost
364,1,182.25,3,At Risk/Lost
3,8,1004.03,0,Potential Loyalists
1,18,4448.54,2,Champions
2,1,194.42,0,Potential Loyalists
9,13,50491.81,1,Champions
56,1,161.0,0,Potential Loyalists
324,1,76.32000000000001,3,At Risk/Lost
7,14,4076.91,2,Champions
11,1,442.85,0,Potential Loyalists
3,17,53741.13,1,Champions
36,1,147.35,0,Potential Loyalists
15,11,3104.17,0,Potential Loyalists
137,1,194.9,3,At Risk/Lost
73,6,2839.19,0,Potential Loyalists
4,5,1360.28,0,Potential Loyalists
154,2,216.21,3,At Risk/Lost
238,1,1266.23,3,At Risk/Lost
51,7,2703.23,0,Potential Loyalists
30,2,597.91,0,Potential Loyalists
72,1,144.2,0,Potential Loyalists
3,12,5683.15,2,Champions
13,4,613.65,0,Potential Loyalists
22,7,2915.15,0,Potential Loyalists
3,4,1840.42,0,Potential Loyalists
273,2,386.53,3,At Risk/Lost
19,5,1382.74,0,Potential Loyalists
143,1,90.0,3,At Risk/Lost
3,4,2780.15,0,Potential Loyalists
83,1,28.08,0,Potential Loyalists
10,3,2740.43,0,Potential Loyalists
7,3,400.85,0,Potential Loyalists
122,3,709.71,0,Potential Loyalists
60,2,637.5,0,Potential Loyalists
1,5,1123.86,0,Potential Loyalists
318,1,483.86,3,At Risk/Lost
1,11,3515.83,0,Potential Loyalists
129,3,605.64,0,Potential Loyalists
1,15,4175.91,2,Champions
1,2,982.38,0,Potential Loyalists
45,1,415.82,0,Potential Loyalists
3,2,935.05,0,Potential Loyalists
2,4,915.13,0,Potential Loyalists
372,1,311.81,3,At Risk/Lost
133,1,115.8,3,At Risk/Lost
46,3,2554.2,0,Potential Loyalists
8,5,4191.0,0,Potential Loyalists
77,2,483.4,0,Potential Loyalists
233,1,157.2,3,At Risk/Lost
220,1,446.62,3,At Risk/Lost
35,2,658.64,0,Potential Loyalists
74,2,621.29,0,Potential Loyalists
238,2,1345.62,3,At Risk/Lost
265,1,118.75,3,At Risk/Lost
9,53,69066.18000000001,1,Champions
19,2,432.88,0,Potential Loyalists
39,1,507.66,0,Potential Loyalists
19,11,4693.01,0,Potential Loyalists
215,3,1110.52,3,At Risk/Lost
173,2,289.36,3,At Risk/Lost
86,4,2445.91,0,Potential Loyalists
80,1,1273.77,0,Potential Loyalists
275,1,122.54,3,At Risk/Lost
38,4,574.84,0,Potential Loyalists
97,1,363.79,0,Potential Loyalists
10,4,450.84,0,Potential Loyalists
32,1,134.46,0,Potential Loyalists
59,3,3222.3,0,Potential Loyalists
296,4,576.9000000000001,3,At Risk/Lost
85,4,559.41,0,Potential Loyalists
8,7,1620.93,0,Potential Loyalists
40,2,719.78,0,Potential Loyalists
10,25,4748.52,2,Champions
66,1,452.89,0,Potential Loyalists
330,1,197.65,3,At Risk/Lost
30,6,2054.36,0,Potential Loyalists
1,15,4636.8,2,Champions
1,13,4684.76,2,Champions
67,2,853.39,0,Potential Loyalists
4,21,11349.52,2,Champions
201,2,375.2000000000001,3,At Risk/Lost
106,1,335.52,0,Potential Loyalists
17,4,701.4,0,Potential Loyalists
217,1,185.4,3,At Risk/Lost
59,7,747.44,0,Potential Loyalists
1,1,161.03,0,Potential Loyalists
16,2,466.7,0,Potential Loyalists
238,1,328.16,3,At Risk/Lost
94,1,151.74,0,Potential Loyalists
10,6,2073.43,0,Potential Loyalists
105,6,1905.84,0,Potential Loyalists
52,9,2241.1,0,Potential Loyalists
89,1,527.6,0,Potential Loyalists
30,5,1004.38,0,Potential Loyalists
11,6,1789.72,0,Potential Loyalists
2,4,1839.3,0,Potential Loyalists
1,17,2004.98,2,Champions
42,1,169.48000000000002,0,Potential Loyalists
3,1,89.94,0,Potential Loyalists
246,2,632.4,3,At Risk/Lost
41,9,3432.8,0,Potential Loyalists
176,1,683.17,3,At Risk/Lost
91,3,991.13,0,Potential Loyalists
109,4,1050.12,0,Potential Loyalists
28,5,1906.59,0,Potential Loyalists
25,10,3350.96,0,Potential Loyalists
51,3,1547.2,0,Potential Loyalists
183,3,925.71,3,At Risk/Lost
42,5,2048.07,0,Potential Loyalists
48,4,1230.72,0,Potential Loyalists
21,4,775.46,0,Potential Loyalists
74,5,3144.86,0,Potential Loyalists
80,2,490.86,0,Potential Loyalists
372,1,161.0,3,At Risk/Lost
325,1,146.85,3,At Risk/Lost
42,11,2380.85,0,Potential Loyalists
29,2,890.34,0,Potential Loyalists
183,1,213.7,3,At Risk/Lost
234,2,280.55,3,At Risk/Lost
8,10,2588.77,0,Potential Loyalists
219,2,1693.45,3,At Risk/Lost
110,3,1474.06,0,Potential Loyalists
277,1,136.76999999999998,3,At Risk/Lost
317,1,302.58,3,At Risk/Lost
6,3,1904.05,0,Potential Loyalists
1,5,2879.7000000000003,0,Potential Loyalists
259,2,969.06,3,At Risk/Lost
63,5,2850.12,0,Potential Loyalists
8,9,11206.22,2,Champions
141,1,120.0,3,At Risk/Lost
50,2,1163.45,0,Potential Loyalists
7,8,2618.23,0,Potential Loyalists
154,2,333.97,3,At Risk/Lost
108,2,530.18,0,Potential Loyalists
162,3,1516.24,3,At Risk/Lost
331,1,492.65,3,At Risk/Lost
225,1,112.32,3,At Risk/Lost
73,2,437.96,0,Potential Loyalists
50,4,559.97,0,Potential Loyalists
98,3,1119.74,0,Potential Loyalists
14,3,3957.0,0,Potential Loyalists
196,1,134.04,3,At Risk/Lost
2,15,3729.34,2,Champions
30,2,595.25,0,Potential Loyalists
20,4,1910.01,0,Potential Loyalists
23,3,4628.75,0,Potential Loyalists
7,2,159.35,0,Potential Loyalists
212,1,426.6,3,At Risk/Lost
8,6,911.26,0,Potential Loyalists
10,5,2314.65,0,Potential Loyalists
1,11,3883.25,0,Potential Loyalists
7,9,4871.93,0,Potential Loyalists
2,4,1046.56,0,Potential Loyalists
39,1,166.20000000000002,0,Potential Loyalists
17,4,1305.33,0,Potential Loyalists
7,42,47009.75,1,Champions
7,9,3861.94,0,Potential Loyalists
18,1,43.2,0,Potential Loyalists
116,1,575.34,3,At Risk/Lost
222,1,383.45,3,At Risk/Lost
70,3,1858.96,0,Potential Loyalists
50,2,1633.64,0,Potential Loyalists
88,6,2995.72,0,Potential Loyalists
7,9,2214.29,0,Potential Loyalists
242,1,310.26,3,At Risk/Lost
46,6,1611.59,0,Potential Loyalists
106,1,120.0,0,Potential Loyalists
44,6,2481.13,0,Potential Loyalists
64,1,508.58,0,Potential Loyalists
206,2,477.79,3,At Risk/Lost
10,5,1530.75,0,Potential Loyalists
114,2,605.0600000000001,0,Potential Loyalists
241,1,183.85,3,At Risk/Lost
162,1,311.65,3,At Risk/Lost
16,7,4954.36,0,Potential Loyalists
123,2,462.66,3,At Risk/Lost
22,3,866.31,0,Potential Loyalists
67,1,415.2,0,Potential Loyalists
16,8,2552.21,0,Potential Loyalists
