Recency,Frequency,MonetaryValue
183,2,251.21
19,11,2470.67
2,6,3543.26
46,4,673.26
16,8,5905.64
16,5,2012.17
23,6,1383.18
21,2,276.42
10,5,1314.81
187,2,275.28
206,2,317.35
60,3,1055.35
17,6,2102.09
32,2,330.45
63,1,174.37
1,2,270.6
23,4,974.54
107,1,241.09
31,9,1867.68
19,9,4230.2
2,55,8508.82
36,1,364.21999999999997
59,3,620.04
25,6,2818.81
235,4,932.85
24,7,1583.72
2,18,4447.05
59,3,2864.19
259,1,171.8
57,1,355.56
64,2,388.25
15,2,537.48
9,3,996.26
58,8,1461.65
185,1,103.25
28,16,3630.33
23,2,1920.77
4,5,2578.09
3,8,4007.54
150,2,652.8
310,1,289.24
10,2,765.62
17,2,186.23
151,1,165.07
18,5,859.27
9,4,2381.04
56,2,324.14
84,1,788.38
6,20,2086.57
75,3,1080.76
3,18,5074.77
95,4,3099.12
56,2,1530.3600000000001
0,1,227.39
280,2,218.06
2,7,2832.84
179,9,1653.42
371,1,35.400000000000006
12,4,859.71
2,1,168.63
16,1,138.6
40,1,114.11
5,5,1052.55
168,4,1042.26
49,1,157.05
276,1,237.36
18,9,1601.14
371,1,39.75
14,4,1447.14
34,3,570.46
21,3,617.99
6,2,379.83
19,6,1740.6
10,2,883.15
43,1,221.97
305,1,393.33000000000004
10,1,213.96
0,93,12156.65
15,11,8844.54
3,4,1785.15
242,3,406.08000000000004
8,3,553.44
245,1,394.44
205,2,412.78000000000003
0,5,1788.3600000000001
184,1,320.58000000000004
31,5,889.25
56,2,225.85
195,2,899.63
23,4,2791.27
90,2,671.96
3,2,959.01
50,3,1006.98
262,1,114.56
265,1,344.90000000000003
35,2,609.85
50,1,443.6
51,6,2984.49
23,6,2125.08
21,1,110.46
58,1,96.12
169,2,693.8100000000001
67,2,830.76
156,2,597.09
1,65,150288.0
200,1,243.22
4,4,1387.05
66,2,654.6
76,1,114.18
0,7,1947.55
7,4,1932.23
168,2,291.05
17,4,848.22
4,2,247.15
8,9,2529.93
86,2,285.74
26,1,107.95
28,4,771.17
19,2,637.89
60,5,1835.7
23,1,195.25
10,25,9180.72
241,3,1269.99
279,2,411.53
234,2,765.55
2,5,1736.4
15,1,604.75
30,6,2259.4
24,16,25633.61
70,3,498.95
187,2,52.0
25,5,1236.28
106,1,549.18
7,21,5580.47
208,1,112.8
43,2,371.7
30,5,2114.33
136,4,591.55
264,1,172.9
3,7,2078.95
217,2,188.60999999999999
1,5,1250.76
213,1,109.13000000000001
31,3,2235.3
10,9,2549.37
0,17,3292.14
14,1,318.17
10,9,1546.91
198,1,179.0
2,3,988.13
14,13,4921.04
13,4,606.13
9,11,2868.8
28,3,917.07
8,11,2666.36
23,1,79.55
24,4,867.38
42,2,279.28
1,5,1602.13
5,3,663.81
146,1,187.92000000000002
9,6,1158.3
24,1,640.08
273,1,268.58
373,1,313.49
0,8,2005.06
46,3,380.02
7,8,2702.4900000000002
15,12,9585.91
3,32,6065.69
3,3,1164.55
42,7,1314.45
3,7,3132.84
196,3,1448.21
11,6,1306.74
15,7,1099.98
112,5,1220.26
248,1,328.2
28,5,1415.75
43,1,180.84
86,1,563.15
44,2,638.05
9,11,5010.28
14,1,738.96
74,1,420.5
144,4,1484.06
4,3,1625.97
296,1,89.2
58,2,255.9
263,1,300.52
46,1,278.3
28,3,254.11
7,6,2473.37
16,2,192.60000000000002
2,8,10509.75
231,2,876.42
111,1,139.26
57,3,1011.9
50,11,2538.3
126,2,730.86
280,3,386.15
54,2,447.68
319,1,200.10000000000002
25,2,289.99
9,2,77.4
6,2,679.4399999999999
28,1,197.64
16,4,745.06
63,1,6.2
20,1,228.99
2,7,1319.91
165,1,131.45000000000002
0,17,8022.49
52,3,173.74
50,1,157.7
47,12,4325.34
60,1,193.14
161,3,845.55
8,1,353.27
14,4,554.65
74,1,193.39000000000001
39,8,2702.29
40,11,2087.88
369,2,155.43
36,2,778.5
196,1,271.85
199,2,1110.34
73,3,657.8
63,2,272.07
20,4,507.29
366,1,48.800000000000004
179,3,321.43
9,4,1127.71
3,12,2226.91
196,3,1354.72
28,4,697.55
52,1,197.13
17,6,1720.3
9,3,102.44999999999999
89,4,1640.86
267,1,62.85
52,6,3295.76
43,4,2824.69
63,4,2831.81
148,1,309.4
21,25,7851.34
311,1,325.75
22,2,511.35
57,6,2836.69
23,2,475.8
77,7,2759.83
118,2,645.65
35,3,1311.3799999999999
59,2,1173.12
12,4,1353.74
18,1,170.32
51,1,125.79
25,2,841.1999999999999
28,1,266.76
6,2,52.2
10,11,9407.98
185,3,710.28
2,8,2953.59
8,2,725.7
261,1,327.25
2,4,522.38
209,1,519.68
107,2,1465.3200000000002
12,9,1485.54
76,3,706.19
19,1,255.4
26,2,589.7
18,6,761.59
131,1,664.52
252,1,364.8
78,1,72.0
206,1,369.2
335,1,135.9
253,1,125.65
147,2,554.38
9,2,1237.8500000000001
84,1,655.75
7,20,11073.91
204,2,468.77000000000004
7,4,1366.38
22,6,1122.08
10,9,1421.29
25,1,332.66
20,5,2810.63
1,2,913.12
157,2,616.15
2,7,3501.1
73,1,277.8
2,4,434.35
0,198,129618.84
16,2,811.6899999999999
35,4,1227.43
90,2,307.48
70,4,1268.98
115,2,1610.15
212,2,977.77
29,2,1316.07
50,1,749.1
245,1,310.05
31,1,223.88
108,3,2372.86
4,5,1257.68
365,1,363.53
81,2,1890.94
296,1,1520.1599999999999
33,8,8137.02
56,3,1621.88
29,12,5900.25
13,1,100.9
71,2,290.82
22,6,1101.97
18,1,371.2
78,1,311.69
59,11,7535.49
24,1,289.82
11,1,336.17
252,1,58.49
146,3,499.68
63,4,695.42
7,2,221.27
10,9,7044.68
270,1,126.7
9,5,1487.8
246,1,206.21
95,2,599.0
14,1,191.32
49,1,463.8
29,1,147.59
67,4,1592.06
34,3,1116.57
127,1,114.77
106,3,1314.45
36,1,114.39
56,1,279.94
56,7,790.86
71,5,1931.42
245,1,102.12
18,2,213.27
197,2,296.75
15,2,326.4
211,1,334.54
38,2,233.23000000000002
45,3,455.47999999999996
169,2,429.87
47,1,490.52
115,4,1641.76
146,1,1246.32
15,28,6316.57
50,1,502.09
158,1,156.91
11,3,1261.78
35,1,308.94
53,2,423.04
42,2,260.17
172,1,170.04
33,1,125.58
38,3,496.21000000000004
266,1,266.0
8,9,1914.82
11,4,905.04
2,11,6802.76
9,10,1661.33
32,1,377.01
79,3,469.0
30,4,916.15
7,4,627.13
71,2,423.48
3,4,668.14
255,3,3639.1
4,10,2586.67
15,8,4308.61
89,1,252.73000000000002
71,3,465.55
58,6,705.49
9,47,19511.24
169,1,180.35
198,1,135.93
30,1,537.0
18,17,7700.2300000000005
151,2,735.66
8,15,4509.69
269,1,343.62
64,4,384.05
273,1,121.17000000000002
24,3,1782.09
22,3,1305.81
318,1,215.78
4,3,697.79
11,2,302.1
274,2,1489.5
24,11,2124.9900000000002
40,9,1337.72
7,4,303.09
3,47,34218.9
70,4,987.86
212,1,370.79999999999995
37,4,3158.13
52,1,893.59
77,3,1744.76
45,2,553.36
178,1,1109.53
372,1,106.2
93,2,982.07
9,3,1043.41
104,1,748.87
77,1,722.63
172,1,880.85
6,32,9743.11
212,4,895.61
21,5,504.8
256,1,88.2
281,1,246.46
20,2,1160.07
9,6,2420.84
307,1,381.32
67,1,480.71
214,2,457.81
17,6,3957.9
103,4,1370.6
42,1,219.39000000000001
3,1,248.08
181,1,297.0
83,1,410.48
333,3,876.0
8,2,317.53
30,2,703.36
196,2,1027.44
17,7,2298.93
17,5,1422.52
310,6,319.5
141,4,1300.25
245,1,484.95
23,4,996.1
28,3,1567.48
9,3,3525.81
29,10,2760.56
17,1,340.11
17,4,1352.75
14,5,1199.78
245,1,266.4
133,1,358.82
49,2,457.72
113,3,1633.78
6,2,2199.31
22,2,184.19
24,15,10888.64
65,1,406.53
59,4,1471.0
49,11,3343.72
169,1,330.11
17,5,977.9300000000001
127,3,982.42
14,8,1387.99
238,1,139.05
2,4,1286.7
239,2,178.96
51,7,2224.65
45,1,498.74
225,1,259.45
7,17,6580.44
3,4,1194.73
164,2,1327.16
239,1,623.5
10,1,301.29
133,1,520.8000000000001
16,10,5314.47
9,13,4745.69
30,1,329.25
74,1,296.42
0,3,961.49
3,3,1936.07
44,1,401.40000000000003
1,30,18641.010000000002
356,1,158.16
17,2,304.47
68,3,843.05
372,1,487.75
320,1,163.0
25,1,106.56
330,1,1289.5
8,5,1624.05
322,1,135.75
71,1,224.14
259,1,40.5
17,5,2042.79
366,1,87.5
65,3,689.4799999999999
153,2,622.85
28,2,406.76
69,1,310.62
13,2,411.41
1,16,4712.38
0,41,14627.47
119,3,1044.32
60,1,499.32
2,15,7249.53
10,3,1079.6100000000001
91,2,193.64
58,4,1268.7
86,5,1236.54
25,6,1827.8
356,1,316.58
84,2,653.24
9,4,420.29999999999995
0,5,870.12
224,1,331.18
59,2,894.4100000000001
240,1,101.8
318,2,328.35
1,8,1661.44
46,3,734.94
87,1,96.6
10,11,4708.89
175,1,305.75
51,6,1709.36
365,1,403.25
318,1,585.0
225,2,755.75
357,2,322.08
233,1,409.40000000000003
310,1,154.41
36,5,1219.4
65,4,3084.31
238,2,429.6
112,2,612.06
276,1,197.0
217,12,2247.51
298,1,321.05
1,4,1412.32
28,3,1071.99
9,2,780.59
44,5,1706.57
66,8,1756.44
73,1,316.68
64,2,631.57
133,3,2515.84
237,2,514.15
121,1,356.0
31,13,6688.46
8,10,9000.99
35,2,740.78
15,5,918.1999999999999
126,1,300.36
66,1,890.85
148,1,98.45
282,1,317.15
168,2,623.16
99,7,1810.77
134,1,254.82
323,1,178.95000000000002
106,1,156.51
63,1,393.74
150,2,1506.1200000000001
337,1,119.3
21,5,1315.6
23,1,408.8
15,7,1726.69
6,15,2507.07
56,2,721.94
3,2,681.77
37,1,615.14
65,1,135.31
46,1,255.89999999999998
354,1,290.51
171,1,113.12
58,9,2332.15
49,1,240.55
21,2,414.69
42,5,2306.52
28,3,939.78
4,18,7793.46
25,14,4272.3
200,1,180.94
50,6,3672.86
9,3,641.94
1,11,3809.9
371,1,527.85
63,1,496.44
50,11,4447.85
289,1,574.02
60,8,694.4000000000001
63,3,1174.35
95,1,205.3
273,1,310.47
0,91,56056.48
74,4,924.85
109,1,52.0
198,1,327.97
63,2,570.5
326,1,165.0
3,1,312.62
283,1,204.5
43,1,197.53
70,3,2748.31
85,1,679.68
103,1,162.29
333,1,311.71
52,1,208.75
38,3,1049.7
31,2,250.55999999999997
365,4,1661.06
207,1,1028.56
156,3,351.67
53,1,173.97
65,2,574.07
80,1,2020.52
129,1,406.09
86,1,364.5
0,3,563.94
45,1,393.54
332,1,252.42000000000002
365,1,201.60000000000002
71,1,158.04
157,2,473.81
372,1,115.65
11,7,1960.1100000000001
254,2,777.02
28,2,277.05
30,10,2766.5
4,22,8166.24
39,1,427.93
361,1,215.4
372,1,326.0
95,2,913.19
25,7,2314.32
74,2,602.51
56,4,1877.59
20,1,167.70000000000002
40,7,2386.05
136,1,1296.52
7,12,2415.91
128,1,76.2
39,3,1233.3600000000001
168,7,3703.29
8,5,1690.2600000000002
213,2,596.85
14,6,5913.95
169,2,642.41
39,1,316.88
185,1,394.14
269,1,140.54
4,4,1535.53
15,2,231.86
9,4,2183.54
325,1,107.45
112,1,288.18
289,1,94.0
15,2,1345.53
0,3,815.77
91,5,716.2
148,2,536.05
188,1,349.1
30,2,510.71000000000004
33,4,1056.44
263,1,267.18
83,8,3450.84
25,4,1358.88
170,1,190.53
9,3,774.9000000000001
312,1,572.8100000000001
64,4,3984.32
84,1,508.8
24,1,135.86
58,4,950.36
322,2,97.7
37,1,43.5
253,2,322.86
18,5,1447.39
32,3,1483.14
14,1,93.78
26,2,397.35
22,1,171.19
213,2,533.3
7,5,1041.48
21,1,149.29
11,3,1122.53
261,1,200.16
130,1,156.57999999999998
54,3,383.68
248,1,594.0
1,7,3236.91
8,2,1418.26
263,1,113.5
330,1,155.17
312,1,494.64
25,3,974.52
29,1,429.84
29,3,538.73
1,7,1388.37
361,1,179.1
282,3,416.98
261,1,237.07
24,1,161.64
353,1,216.76
93,3,234.6
28,1,126.14
337,1,1048.85
19,18,7048.62
84,1,334.53
8,3,524.88
50,2,467.51
49,2,538.55
1,1,469.48
112,1,371.56
13,6,1465.2
76,1,454.10999999999996
39,2,1441.42
115,1,905.5
15,12,9590.56
160,4,233.81
0,4,3478.15
29,3,2575.0
92,1,91.32000000000001
22,3,1134.28
94,6,3100.09
27,2,659.4599999999999
32,5,2001.8
20,2,1299.23
17,2,936.6
2,27,13316.4
7,4,1131.56
15,11,6352.98
362,1,147.09
80,1,52.83
52,5,3610.96
22,3,979.26
171,1,492.36
188,6,1000.27
330,1,250.0
11,5,909.23
155,2,121.0
32,18,14215.18
11,11,3391.62
44,3,62.43
232,1,267.03
63,8,1942.45
1,1,320.7
39,8,3000.2
32,2,398.84
83,1,412.01000000000005
24,1,440.0
1,3,825.92
32,2,148.44
18,8,2429.78
253,1,229.33
22,11,3995.23
21,4,1502.35
7,2,2007.44
24,4,1580.93
18,3,807.57
172,4,536.4
162,1,110.92
6,1,538.46
10,1,213.3
113,1,85.13000000000001
287,1,127.86
8,9,3546.71
53,2,292.71999999999997
6,14,4753.24
76,3,1693.26
3,4,575.63
36,1,436.06
216,1,90.12
59,1,437.23
277,1,217.2
11,16,4805.17
23,1,279.77
28,1,473.65000000000003
11,4,800.59
351,1,134.55
21,4,1386.04
49,2,173.16
18,1,186.01
2,3,758.29
103,5,1375.71
6,12,4165.52
11,4,650.4300000000001
4,7,2552.86
31,2,607.45
177,4,702.25
37,1,940.6700000000001
150,3,258.88
161,1,127.1
68,2,348.6
121,12,1179.97
24,3,682.9100000000001
23,4,725.11
176,1,455.3
49,4,913.6800000000001
255,3,478.53000000000003
46,1,388.58
70,1,199.8
15,5,1771.78
100,5,1406.59
34,1,324.57
52,1,240.68
26,2,761.74
10,14,6776.56
7,9,1297.8700000000001
78,1,48.480000000000004
51,1,216.39
35,5,1198.23
60,9,2920.16
336,1,104.76
27,4,1093.68
183,1,298.48
51,1,112.46000000000001
9,13,1376.65
35,2,195.15
9,23,10399.74
32,4,776.851
10,1,336.40000000000003
56,3,1553.18
3,4,1293.03
42,9,3709.56
140,1,301.03
116,4,588.13
103,4,1534.26
74,2,675.8
4,9,2870.2400000000002
44,2,1186.35
15,8,3285.31
16,1,243.55
89,2,724.76
52,1,223.36
133,1,425.32
3,15,12051.66
104,4,1887.2
191,3,664.0
165,4,813.0
18,1,612.01
157,3,447.64000000000004
203,2,657.35
335,1,306.0
36,3,646.3
90,1,337.74
115,1,48.0
8,2,922.53
242,1,560.67
44,4,748.5
22,1,30.0
189,5,1024.1000000000001
43,1,306.45
24,9,1600.86
316,2,135.8
105,1,138.14
50,1,386.43
167,2,2242.01
39,1,301.32
217,1,76.32000000000001
39,4,684.34
296,1,173.05
18,7,2309.37
87,4,2881.02
72,5,2446.6
80,3,315.05
18,3,3435.76
48,1,657.23
52,1,352.7
23,4,781.28
8,3,1333.68
24,5,1426.16
116,1,193.75
8,9,2993.1
119,2,254.1
3,2,239.76
251,1,136.8
27,1,191.04
7,13,5934.36
266,2,409.98
32,8,2736.46
17,1,309.65
171,2,696.68
1,4,1542.14
264,1,211.5
139,4,2293.62
200,1,143.1
63,4,1060.56
34,4,945.58
40,7,3364.2400000000002
283,1,133.25
8,5,1072.3600000000001
142,2,356.7
11,2,330.88
145,4,1118.81
233,1,150.3
32,13,5045.61
23,1,598.73
11,1,507.08
35,5,1991.5600000000002
364,1,203.1
200,2,218.25
14,1,415.25
16,7,5178.96
212,1,85.0
65,3,1120.88
211,2,294.12
282,1,162.3
114,2,1339.45
14,8,1205.1200000000001
18,16,4812.42
65,1,343.52
48,1,154.88
15,4,784.46
77,1,34.8
18,4,1094.59
133,1,196.88
12,3,974.04
39,1,149.31
2,8,2465.48
39,7,2637.38
50,3,458.57
9,6,2364.25
60,4,532.96
65,2,714.42
24,1,205.25
217,3,253.04
64,2,583.75
31,2,1086.92
87,6,3279.97
63,1,315.06
115,3,621.8299999999999
6,16,6084.5199999999995
5,1,147.52
68,1,270.8
244,1,104.9
132,1,241.62
240,3,761.51
183,3,475.28000000000003
24,3,345.46
9,3,2315.2200000000003
10,1,246.3
32,5,2328.9700000000003
45,3,4932.2
25,3,948.05
357,1,351.3
9,1,220.85
43,2,1612.69
14,3,750.81
149,1,610.01
0,8,2711.56
304,2,1243.8
75,3,884.14
106,2,699.08
45,3,1063.95
142,1,451.42
50,1,415.82000000000005
0,13,4206.39
22,17,5528.4800000000005
45,3,784.58
49,3,903.9
305,4,3734.9700000000003
35,5,515.77
78,4,1391.98
21,6,2218.62
106,5,1629.7800000000002
207,2,1303.9099999999999
16,4,1788.73
63,4,1586.52
48,4,1905.45
319,1,206.98
43,2,570.96
2,2,885.47
371,1,15.0
171,1,532.94
55,3,1654.31
72,14,1836.0900000000001
98,2,636.14
37,1,576.0
57,3,767.2
253,1,836.79
69,4,2233.75
43,4,954.09
49,1,137.37
64,1,391.98
10,19,16794.88
32,3,1048.49
58,2,355.56
72,4,1224.06
303,1,118.95000000000002
45,1,130.73999999999998
17,8,3711.77
37,2,328.79
18,2,238.85
186,2,160.71
51,1,110.8
3,12,2974.65
136,5,712.24
3,27,15488.210000000001
18,1,297.0
15,5,1438.85
40,8,977.21
11,8,3165.36
7,4,810.2
25,2,68.84
66,4,1173.1200000000001
40,3,895.13
100,1,230.53
4,15,3812.64
276,2,149.64
32,1,354.09000000000003
14,2,360.93
63,7,4078.88
1,2,493.28
368,1,343.28000000000003
311,5,501.39000000000004
198,4,516.36
1,2,396.48
92,3,379.35
59,1,181.09
80,1,168.31
156,2,446.87
226,1,524.52
252,2,263.55
149,1,179.17
193,2,111.55
0,5,1388.88
368,1,56.25
23,1,351.11
16,3,363.88
9,7,5126.76
7,1,164.68
19,7,1567.69
3,3,967.45
173,1,191.94
0,8,1232.18
177,2,264.62
15,8,1528.09
247,1,123.1
190,2,334.23
19,2,639.89
153,4,167.5
172,1,336.03000000000003
372,1,369.5
372,1,127.08
193,1,207.15
66,1,426.63
3,8,2495.87
20,3,1107.46
238,2,416.86
63,1,145.35
111,5,404.58
89,14,4703.81
310,1,35.8
133,1,337.44
276,1,325.1
364,1,181.0
82,1,1708.24
7,2,955.24
16,2,364.72
31,4,1765.51
8,2,708.22
33,4,806.57
14,8,1659.3799999999999
23,14,4416.26
31,1,428.89
73,1,104.35
19,2,470.76
16,4,845.64
22,2,418.83
2,3,666.1
303,1,314.1
17,11,3218.85
366,1,307.82000000000005
38,7,3442.15
83,1,371.01
164,2,430.94
16,2,914.33
76,1,1098.78
88,3,2295.18
24,8,3408.48
21,4,1475.02
2,10,2624.07
122,2,1037.42
29,1,168.12
11,6,1097.94
18,1,158.03
43,2,792.11
3,1,41.989999999999995
8,7,2797.57
54,1,427.07
87,6,1060.68
36,5,3089.97
29,5,2735.37
11,4,615.39
210,1,101.4
47,4,1701.94
23,3,478.78
21,4,992.71
245,3,407.5
7,16,3362.71
34,3,1415.29
3,32,16100.62
37,3,662.38
3,3,620.0699999999999
2,8,1508.76
46,1,211.88
38,2,408.90000000000003
46,9,3786.2400000000002
16,3,851.01
259,1,628.28
45,3,719.81
11,1,251.24
29,1,439.65999999999997
42,1,236.09
136,4,380.21999999999997
38,50,23042.19
309,1,331.24
91,2,548.94
5,20,8816.4
195,3,437.7
86,2,728.6800000000001
269,3,855.02
7,3,471.78000000000003
64,3,1313.55
140,2,1487.0
21,5,1197.27
37,4,773.99
119,4,1340.7
372,2,256.44
39,3,1111.79
173,1,129.26
53,1,362.06
32,2,1252.75
144,1,783.9
220,1,134.8
44,1,664.85
15,7,2263.12
65,6,1459.8600000000001
9,4,1153.62
259,1,335.32
364,1,372.09
16,5,1418.19
21,2,852.15
44,1,326.24
287,1,584.3199999999999
296,1,122.39999999999999
2,10,2234.73
283,1,79.2
16,3,893.6
81,2,217.16
55,5,2806.9
100,2,1317.62
298,1,436.18
22,5,981.51
58,5,1121.39
154,2,315.06
114,3,817.86
106,1,17.0
11,4,1078.23
263,1,320.62
239,1,185.04999999999998
87,7,2005.63
49,3,731.9
70,1,1290.7
41,3,1842.14
6,6,1429.64
61,1,302.36
248,1,336.96
65,1,108.38
17,7,2774.56
84,1,842.5
218,2,551.4
44,3,1337.48
142,4,143.9
182,1,161.38
170,1,135.75000000000003
9,8,1667.97
211,1,612.78
189,1,232.21
7,2,423.36
58,4,1309.14
56,2,867.11
72,4,559.62
51,1,307.78
316,1,249.0
366,1,289.35
28,4,6287.77
38,1,656.25
17,5,1880.22
51,6,3506.54
3,33,12318.64
21,2,618.09
262,1,517.55
59,3,709.38
18,3,635.41
65,2,542.3
87,1,620.4
249,1,535.34
2,6,2424.94
246,1,175.2
8,11,3799.4900000000002
156,3,734.13
133,1,375.0
295,1,76.32000000000001
4,2,280.52
42,5,2053.02
268,1,1829.04
49,5,1824.23
8,9,3122.04
15,3,656.69
281,1,348.2
64,2,732.96
1,19,5575.56
251,1,37.4
231,2,856.6
16,3,822.48
10,26,3277.84
7,4,1822.97
50,6,1885.05
58,1,73.2
94,5,1140.21
15,6,1418.32
125,3,551.95
93,4,1037.59
49,1,331.95
137,1,197.9
60,1,215.83
99,8,10254.18
72,1,305.54
71,4,1538.65
66,1,338.71000000000004
63,6,1158.79
16,2,529.41
22,12,4006.94
31,15,6911.4400000000005
44,4,981.86
15,2,215.48
39,1,215.08
2,12,4609.32
236,1,314.45
74,1,400.68100000000004
3,2,1080.6200000000001
2,4,1863.47
360,1,365.27
58,4,592.9
22,1,405.71
30,4,761.38
54,4,537.0600000000001
24,1,394.38
44,2,664.26
88,5,903.98
1,18,5706.38
88,1,547.02
18,2,690.34
78,1,159.0
170,3,1062.75
80,1,242.35
266,1,914.9300000000001
234,2,304.25
29,7,3084.68
36,3,864.86
317,1,846.72
56,4,1295.3
44,5,1096.32
202,3,255.12
224,1,314.22
86,2,1010.6
189,2,542.03
43,4,990.88
70,3,536.6800000000001
40,5,867.31
77,1,432.2
56,2,414.2
23,2,3718.8
9,13,2607.87
7,7,3603.21
33,2,409.1
211,2,1522.75
23,3,1413.66
169,1,114.56
61,1,152.94
52,5,1800.07
260,2,389.44
66,2,3683.86
16,8,2619.91
266,1,752.4300000000001
176,1,46.95
44,5,4800.31
50,1,1035.45
16,4,746.83
8,9,5447.0
73,7,861.89
70,2,667.65
352,1,1141.24
2,5,1429.24
116,1,411.7
372,1,357.95
196,1,559.87
176,1,277.8
99,1,566.38
20,3,1509.58
71,1,1756.78
339,1,168.3
5,5,1570.81
30,2,823.97
169,1,125.22000000000001
121,1,302.25
21,10,2248.9900000000002
9,4,1328.55
268,1,301.9
22,3,598.2
126,1,233.22
25,3,5360.63
138,1,361.21999999999997
213,6,632.27
105,2,706.57
17,2,616.26
2,2,274.15000000000003
330,1,226.37
63,8,2938.91
119,3,1341.65
34,1,328.15
217,1,404.40000000000003
171,2,1038.46
71,5,373.65000000000003
0,2,326.75
195,1,207.50000000000003
127,3,428.68
46,3,594.24
5,14,3110.96
13,6,3844.22
17,3,251.91
27,7,1593.2
191,1,177.60000000000002
36,1,151.05
156,1,214.79999999999998
283,1,109.95
106,1,549.07
24,4,1971.87
74,4,322.41
15,2,370.47999999999996
157,1,101.10000000000001
43,1,575.41
10,2,887.65
31,7,1469.45
290,1,53.5
20,4,1116.47
332,1,153.9
17,2,494.44
3,23,6675.71
62,2,395.8
197,3,211.77
32,3,658.88
0,4,2027.5
6,8,1371.96
4,6,3512.53
9,4,896.66
31,5,734.77
52,1,109.36000000000001
11,2,707.04
17,9,1540.42
18,1,327.3
36,2,804.49
1,2,497.43
17,3,1553.66
81,4,1320.56
32,2,367.93
65,2,473.03000000000003
8,2,987.01
266,1,106.2
246,3,362.95
3,4,2157.4
60,1,752.43
74,2,668.36
89,2,584.5
59,3,555.89
28,2,317.2
322,1,94.36
52,4,1324.47
269,1,221.19
1,13,3046.21
56,5,1383.98
60,5,1486.9
153,2,1705.8
18,2,408.57
94,1,303.93
0,12,3522.3199999999997
264,2,299.6
311,1,177.5
69,1,443.05
301,2,74.85
18,1,163.07
12,10,2126.93
35,5,2028.88
18,2,214.65
53,1,151.83
56,1,262.2
21,2,126.25
43,1,210.35
26,3,1051.4
44,3,675.27
112,6,972.23
16,50,23008.12
24,1,346.12
190,1,133.56
301,1,302.7
1,10,1908.25
262,2,241.06
105,1,284.55
56,1,300.85
212,3,642.81
63,1,143.4
27,1,184.26
28,7,1522.25
5,5,798.35
7,5,3640.67
66,2,381.2
1,3,616.79
45,4,654.67
33,1,230.51
205,1,2.9
135,1,259.01
197,1,188.89000000000001
197,2,707.69
149,1,311.92
87,1,266.97
44,2,6.9
63,7,1841.18
98,5,2158.37
217,1,208.36
2,18,3482.7400000000002
27,3,814.72
177,1,151.42
73,3,136.0
20,4,1422.4
19,3,1314.68
33,7,1603.46
73,1,74.9
23,4,650.43
51,4,762.39
274,1,223.95000000000002
164,3,316.11
6,7,1871.5
87,4,544.3
63,7,2494.46
24,3,331.0
9,2,300.83
75,1,769.29
15,1,220.62
191,1,139.35
173,2,404.3
76,1,363.65
32,3,490.8
46,1,731.5
79,4,1351.63
296,1,826.53
2,3,684.41
8,3,1599.52
49,6,2965.69
160,2,100.97
359,2,365.45
4,6,400.86
106,4,1431.93
24,1,484.38
19,2,90.30000000000001
296,1,363.7
371,1,248.1
21,3,950.26
4,4,874.59
51,5,1540.73
29,1,101.69999999999999
276,1,162.7
60,2,484.32
24,2,215.07999999999998
185,3,1046.57
1,21,9418.470000000001
1,26,10429.45
171,1,290.36
80,1,228.06
3,1,244.41
189,1,455.25
21,7,1244.59
18,3,1095.56
4,1,593.75
109,1,548.97
2,4,1388.81
53,1,119.62
164,1,339.3
290,2,787.15
9,10,4154.64
108,5,2276.29
95,3,737.8
242,2,379.73
162,12,4554.26
41,3,837.1
34,2,285.89
66,7,3313.79
23,2,281.85
0,20,8086.49
26,2,841.41
5,2,511.12
53,1,845.74
363,1,173.7
14,5,614.66
193,2,704.5600000000001
2,1,124.2
14,10,3738.4
26,3,1421.69
126,3,1009.6
84,2,663.61
70,1,451.44
182,1,105.84
112,1,313.62
373,1,233.45
79,2,831.08
248,1,463.95
231,1,225.15
70,3,459.24
68,1,213.5
3,16,4063.28
50,3,330.03
74,1,181.09
60,1,360.16
15,2,250.15
3,1,69.52000000000001
285,1,145.04999999999998
3,6,813.52
40,1,244.79999999999998
35,1,528.08
74,2,482.47
17,14,3330.43
14,7,5493.46
218,1,75.66
185,1,129.49
32,4,1187.66
69,1,618.59
182,1,506.19
14,2,500.42
235,1,151.85
30,5,2647.59
263,1,226.21
3,2,178.96
51,4,813.48
245,1,129.45
80,2,810.5699999999999
274,1,333.08
0,17,3937.9
78,1,322.8
29,5,2188.05
73,2,417.73
16,6,2883.1
222,2,217.9
31,4,1154.47
22,10,1680.72
30,3,1257.51
105,1,231.10000000000002
4,2,688.33
245,1,487.51
177,2,833.78
169,2,214.06
42,1,290.65999999999997
71,1,518.42
58,7,6258.45
15,2,1212.66
140,4,601.27
17,6,3794.52
21,15,3125.0
9,4,933.62
367,1,123.24
188,1,39.12
15,3,810.45
361,1,135.39999999999998
18,1,118.98
67,2,570.13
14,6,306.71999999999997
23,3,1374.8700000000001
16,11,4095.9
35,2,418.35
1,20,7780.9400000000005
54,2,319.61
33,4,1592.1200000000001
2,12,3109.99
365,1,129.75
42,1,183.7
72,6,1770.34
4,5,958.88
3,16,19644.7
60,2,324.24
46,7,3062.83
0,4,1260.86
75,2,370.76
71,2,225.57999999999998
255,2,158.5
68,2,482.01
134,4,657.9000000000001
240,1,112.75
252,1,204.0
8,13,5076.55
8,13,4606.66
